日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260323,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260324,菜油,OI2609,09,中粮期货,4665,13578,-8913,净空,-354,-199
20260324,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260324,菜油,OI2609,09,摩根大通期货,821,0,821,净多,-41,0
20260324,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260325,菜油,OI2609,09,中粮期货,4372,13787,-9415,净空,-293,209
20260325,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260325,菜油,OI2609,09,摩根大通期货,972,0,972,净多,151,0
20260325,菜油,OI2609,09,瑞银期货,0,0,0,持平,0,0
20260326,菜油,OI2609,09,中粮期货,4437,18848,-14411,净空,65,5061
20260326,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260326,菜油,OI2609,09,摩根大通期货,4781,0,4781,净多,3809,0
20260326,菜油,OI2609,09,瑞银期货,1347,0,1347,净多,859,0
20260327,菜油,OI2609,09,中粮期货,4341,21008,-16667,净空,-96,2160
20260327,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260327,菜油,OI2609,09,摩根大通期货,8589,0,8589,净多,3808,0
20260327,菜油,OI2609,09,瑞银期货,2206,0,2206,净多,859,0
20260330,菜油,OI2609,09,中粮期货,3440,21438,-17998,净空,-901,430
20260330,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260330,菜油,OI2609,09,摩根大通期货,9474,0,9474,净多,885,0
20260330,菜油,OI2609,09,瑞银期货,2932,0,2932,净多,726,0
20260331,菜油,OI2609,09,中粮期货,3080,21761,-18681,净空,-360,323
20260331,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260331,菜油,OI2609,09,摩根大通期货,10508,0,10508,净多,1034,0
20260331,菜油,OI2609,09,瑞银期货,2932,0,2932,净多,0,0
20260401,菜油,OI2609,09,中粮期货,3057,20761,-17704,净空,-23,-1000
20260401,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260401,菜油,OI2609,09,摩根大通期货,11486,0,11486,净多,978,0
20260401,菜油,OI2609,09,瑞银期货,2976,0,2976,净多,44,0
20260402,菜油,OI2609,09,中粮期货,4346,20992,-16646,净空,1289,231
20260402,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260402,菜油,OI2609,09,摩根大通期货,12666,0,12666,净多,1180,0
20260402,菜油,OI2609,09,瑞银期货,2976,0,2976,净多,0,0
20260403,菜油,OI2609,09,中粮期货,3971,20833,-16862,净空,-375,-159
20260403,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260403,菜油,OI2609,09,摩根大通期货,12803,0,12803,净多,137,0
20260403,菜油,OI2609,09,瑞银期货,2980,0,2980,净多,4,0
20260407,菜油,OI2609,09,中粮期货,3507,21202,-17695,净空,-464,369
20260407,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260407,菜油,OI2609,09,摩根大通期货,13008,0,13008,净多,205,0
20260407,菜油,OI2609,09,瑞银期货,3945,0,3945,净多,965,0
20260408,菜油,OI2609,09,中粮期货,3719,21266,-17547,净空,212,64
20260408,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260408,菜油,OI2609,09,摩根大通期货,11401,0,11401,净多,-1607,0
20260408,菜油,OI2609,09,瑞银期货,5141,0,5141,净多,1196,0
20260409,菜油,OI2609,09,中粮期货,3328,21630,-18302,净空,-391,364
20260409,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260409,菜油,OI2609,09,摩根大通期货,9773,0,9773,净多,-1628,0
20260409,菜油,OI2609,09,瑞银期货,5254,0,5254,净多,113,0
20260410,菜油,OI2609,09,中粮期货,3157,23223,-20066,净空,-171,1593
20260410,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260410,菜油,OI2609,09,摩根大通期货,9598,1409,8189,净多,-175,584
20260410,菜油,OI2609,09,瑞银期货,6087,0,6087,净多,833,0
20260413,菜油,OI2609,09,中粮期货,3426,26131,-22705,净空,269,2908
20260413,菜油,OI2609,09,乾坤期货,0,0,0,持平,0,0
20260413,菜油,OI2609,09,摩根大通期货,10976,2822,8154,净多,1378,1413
