日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260212,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260212,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260212,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260212,菜粕,RM2701,01,中粮期货,0,1070,-1070,净空,0,0
20260212,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260212,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260212,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260213,菜粕,RM2609,09,中粮期货,10011,16175,-6164,净空,799,570
20260213,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260213,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260213,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260213,菜粕,RM2701,01,中粮期货,0,1070,-1070,净空,0,0
20260213,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260213,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260213,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260224,菜粕,RM2609,09,中粮期货,9841,17475,-7634,净空,-170,1300
20260224,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260224,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260224,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260224,菜粕,RM2701,01,中粮期货,0,1070,-1070,净空,0,0
20260224,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260224,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260224,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260225,菜粕,RM2609,09,中粮期货,9738,18016,-8278,净空,-103,541
20260225,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260225,菜粕,RM2609,09,摩根大通期货,0,3163,-3163,净空,0,0
20260225,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260225,菜粕,RM2701,01,中粮期货,0,1072,-1072,净空,0,2
20260225,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260225,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260225,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260226,菜粕,RM2609,09,中粮期货,9591,18113,-8522,净空,-147,97
20260226,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260226,菜粕,RM2609,09,摩根大通期货,0,3163,-3163,净空,0,0
20260226,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260226,菜粕,RM2701,01,中粮期货,0,1074,-1074,净空,0,2
20260226,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260226,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260226,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260227,菜粕,RM2609,09,中粮期货,9582,22928,-13346,净空,-9,4815
20260227,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260227,菜粕,RM2609,09,摩根大通期货,0,3163,-3163,净空,0,0
20260227,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260227,菜粕,RM2701,01,中粮期货,0,1078,-1078,净空,0,4
20260227,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260227,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260227,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260302,菜粕,RM2609,09,中粮期货,11622,26389,-14767,净空,2040,3461
20260302,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260302,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260302,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260302,菜粕,RM2701,01,中粮期货,0,1112,-1112,净空,0,34
20260302,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260302,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260302,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260303,菜粕,RM2609,09,中粮期货,13494,29329,-15835,净空,1872,2940
20260303,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260303,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
